#Frame      Mode1    Mode2
     717   -9.591   -1.395
     718   -8.802   -2.636
     719  -10.733   -1.602
     720   -9.829   -1.086
     721  -10.052   -1.172
     722  -10.950   -1.148
     723   -8.727   -2.310
     724   -7.475   -1.320
     725   -6.303    0.179
     726   -7.038   -1.556
     727   -7.501   -1.403
     728   -9.004   -0.635
     729   -6.654   -0.585
     730   -9.362   -0.489
     731   -7.295   -0.555
     732  -10.204   -2.818
     733  -11.700   -1.737
     734  -11.244   -2.398
     735   -9.696   -1.505
     736  -13.474   -1.633
     737  -13.188   -2.000
     738  -15.266   -1.376
     739  -12.174   -1.233
     740  -12.359   -0.820
     741  -11.837   -1.734
     742  -10.170   -0.396
     743  -11.302   -0.473
     744  -12.553   -1.587
     745  -12.833   -1.145
     746  -16.948   -2.295
     747  -14.898   -2.454
     748  -13.961   -1.743
     749  -15.463   -2.303
     750  -15.674   -1.700
     751  -14.894   -2.879
     752  -12.537   -2.176
     753  -10.627   -0.588
     754  -12.786   -2.709
     755  -11.727   -2.328
     756  -13.486   -2.542
     757  -14.458   -1.888
     758  -15.722   -3.218
     759  -13.164   -2.796
     760  -14.547   -4.031
     761  -14.976   -2.885
     762  -13.750   -3.284
     763  -13.177   -1.239
     764  -12.101   -1.572
     765  -12.440   -1.374
     766  -12.433   -0.771
     767  -13.193   -2.099
     768  -11.921   -1.666
     769  -11.995   -1.164
     770  -12.646   -0.942
     771  -11.580   -0.784
     772   -9.811   -1.461
     773   -8.563   -1.438
     774   -9.636   -1.495
     775  -11.091   -0.303
     776  -11.228   -1.044
     777  -11.776   -0.795
     778  -11.107   -0.327
     779   -9.829   -0.554
     780  -10.766   -0.667
     781  -11.260   -1.614
     782   -9.080   -0.880
     783  -11.329   -0.943
     784  -10.859   -2.387
     785  -13.463   -2.934
     786  -12.789   -2.283
     787  -13.741   -3.023
     788  -15.086   -3.988
     789  -13.639   -2.370
     790  -11.941   -2.823
     791  -11.106   -3.243
     792  -10.090   -3.899
     793  -12.245   -3.528
     794  -10.343   -2.880
     795  -10.239   -3.885
     796  -10.544   -3.505
     797  -10.814   -2.312
     798   -9.538   -2.555
     799  -11.470   -3.954
     800  -11.335   -2.292
     801  -11.389   -2.412
