#Frame      Mode1    Mode2
     698  -11.341    2.106
     699  -12.530    3.202
     700  -12.915    2.999
     701  -12.025    3.476
     702  -12.911    3.724
     703  -14.300    2.883
     704  -14.859    3.187
     705  -14.937    5.002
     706  -13.837    4.177
     707  -13.031    5.660
     708  -12.612    5.563
     709  -12.963    4.814
     710  -11.268    6.747
     711  -11.063    6.450
     712  -10.678    5.769
     713   -9.628    4.064
     714   -8.841    3.855
     715   -7.325    3.111
     716   -8.282    1.597
     717   -8.576    1.212
     718   -9.749   -1.309
     719   -7.256    0.055
     720   -7.352   -0.710
     721   -9.461   -1.405
     722   -7.238   -0.014
     723   -5.533   -0.088
     724   -5.145    1.361
     725   -5.917    2.459
     726   -7.282    2.723
     727   -7.332    1.247
     728   -5.521   -0.061
     729   -5.581    1.853
     730   -5.357    1.583
     731   -5.590    0.526
     732   -5.303   -0.581
     733   -5.836    1.259
     734   -5.246    0.806
     735   -4.505    1.250
     736   -4.677    0.274
     737   -4.089    0.770
     738   -5.377    2.158
     739   -4.156    2.129
     740   -3.051    1.340
     741   -1.244    0.543
     742   -4.053   -0.367
     743   -4.761    0.554
     744   -3.920   -1.120
     745   -2.923   -1.736
     746   -2.931   -0.637
     747   -3.666    1.011
     748   -3.067    0.943
     749   -3.613   -0.750
     750   -4.825   -0.815
     751   -3.223    0.623
     752   -4.341    0.750
     753   -4.177    2.558
     754   -5.253    0.861
     755   -7.938    1.452
     756   -8.315    1.448
     757   -9.775    1.160
     758  -10.020    1.271
     759   -9.582    2.015
     760   -8.277    0.371
     761   -6.383   -0.344
     762   -7.724    0.162
     763   -6.027   -0.577
     764   -4.507    2.725
     765   -5.253    0.954
     766   -6.062    0.741
     767   -6.783   -0.519
     768   -8.124   -1.155
     769   -6.250   -0.804
     770   -6.608    0.832
     771   -7.511   -1.525
     772   -5.332   -0.798
     773   -4.622    0.122
     774   -3.962    1.056
     775   -5.028   -0.053
     776   -5.048    1.961
     777   -5.649    1.248
     778   -4.898    0.524
     779   -6.374   -1.602
     780   -6.135   -1.197
     781   -6.006   -0.333
     782   -7.538   -0.667
     783   -6.034   -2.992
     784   -7.295   -0.332
     785   -6.840   -2.013
     786   -7.078    0.461
     787   -7.963   -0.929
     788   -7.882   -0.129
     789   -9.332   -2.662
     790   -7.990   -3.343
     791   -9.137   -1.456
     792   -9.882   -2.101
     793   -9.750   -3.356
     794   -7.128   -2.356
     795   -5.954   -1.731
     796   -8.106   -1.599
     797   -8.227   -2.803
     798   -7.402   -1.678
     799   -7.099   -1.688
     800   -7.553   -0.492
     801   -8.617   -1.917
     802   -6.415   -0.748
     803   -8.658   -3.682
     804   -7.245   -2.031
     805   -8.271   -0.434
     806   -8.814    0.014
     807   -8.190    0.425
     808   -8.307    1.128
     809   -7.447    1.565
     810   -8.820    1.730
     811   -8.226    1.724
     812   -8.114    0.848
     813   -6.489    0.089
     814   -8.502   -2.525
     815   -9.355    0.956
     816   -7.886    1.796
     817   -9.485    0.847
     818   -8.642   -0.082
     819   -9.906   -0.671
     820   -9.337   -0.883
     821   -8.919    1.018
     822   -6.716    2.073
     823   -8.709    0.292
     824   -7.997   -1.224
     825   -8.803   -2.359
     826   -7.139   -2.499
     827   -7.884   -0.539
     828   -9.959   -0.881
     829   -9.465   -1.348
     830   -9.806   -2.267
     831  -10.630   -0.424
     832  -10.030   -1.505
     833   -9.661   -0.345
     834   -8.687   -0.287
     835   -7.787    0.443
     836   -7.479    1.587
     837   -7.831    0.940
     838   -8.153    1.732
     839   -9.503    2.161
     840   -8.699    2.423
     841   -8.680    1.901
     842   -8.439    2.329
     843   -6.941    2.510
     844   -6.820   -0.102
     845   -6.390    1.523
     846   -7.161    2.195
     847   -7.551    1.273
     848   -5.181    2.988
     849   -5.259    2.760
     850   -4.446    2.545
     851   -4.863    1.819
     852   -6.542    2.097
     853   -6.422    0.510
     854   -5.802    0.937
     855   -4.946    1.240
     856   -5.572    2.412
     857   -5.763    0.195
     858   -4.832   -0.736
     859   -5.174   -0.968
     860   -5.721   -0.285
     861   -7.092    1.098
     862   -5.296    2.216
     863   -5.705    1.613
     864   -4.489    0.995
     865   -3.208    2.144
     866   -5.016    1.380
     867   -6.001    1.198
     868   -7.334    1.312
     869   -4.970    0.710
     870   -8.322    0.721
     871   -7.275   -0.017
     872   -7.204   -1.107
     873   -7.607   -0.803
     874   -7.923    0.691
     875   -7.833    0.051
