#Frame      Mode1    Mode2
     475   -2.047   -2.836
     476   -2.467   -1.819
     477   -2.185   -2.640
     478   -1.771   -4.108
     479   -3.131   -4.251
     480   -4.596   -5.122
     481   -2.408   -4.462
     482   -2.784   -4.399
     483   -1.057   -6.306
     484   -0.877   -7.384
     485   -2.585   -5.702
     486   -3.200   -4.007
     487   -2.901   -3.026
     488   -3.450   -4.164
     489   -3.469   -4.237
     490   -3.149   -3.618
     491   -1.240   -4.063
     492   -1.577   -3.720
     493    1.139   -4.939
     494   -1.198   -3.561
     495   -1.569   -4.251
     496   -1.978   -1.811
     497   -2.536   -1.151
     498   -3.755   -0.927
     499   -2.266   -1.288
     500   -1.744   -0.644
     501   -3.004   -0.429
     502   -4.633   -2.345
     503   -3.376   -3.574
     504   -3.402   -2.962
     505   -4.464   -2.577
     506   -2.859   -1.405
     507   -2.334   -3.239
     508   -1.814   -3.807
     509   -1.023   -3.634
     510   -2.255   -2.716
     511   -2.607   -4.382
     512   -3.808   -1.234
     513   -4.889   -1.633
     514   -5.512   -1.336
     515   -4.933   -1.443
     516   -5.993   -1.328
     517   -5.518   -2.764
     518   -6.024   -4.946
     519   -6.904   -3.895
     520   -8.281   -2.166
     521   -6.274   -3.463
     522   -6.764   -2.617
     523   -4.854   -3.599
     524   -4.974   -3.652
     525   -6.508   -2.961
     526   -6.676   -0.630
     527   -4.873   -1.968
     528   -4.553   -1.517
     529   -7.049   -1.448
     530   -5.709   -1.866
     531   -5.458   -2.351
     532   -4.768   -2.272
     533   -4.263   -5.309
     534   -6.183   -3.383
     535   -3.663   -0.704
     536   -4.422   -1.616
     537   -4.650   -0.386
     538   -4.466    0.243
     539   -2.875   -1.736
     540   -3.565    0.597
     541   -4.500    1.668
     542   -4.318   -0.511
     543   -4.919    0.299
     544   -3.870   -0.770
     545   -1.558   -0.855
     546   -2.603   -0.417
     547   -3.191   -1.427
     548   -4.147   -0.837
     549   -2.467   -2.173
     550   -1.006   -1.451
     551   -1.790   -2.617
     552   -2.331   -3.205
     553   -1.877   -2.521
     554   -1.304   -2.591
     555   -3.219   -2.895
     556   -3.490   -3.194
     557   -3.430   -1.502
     558   -2.666   -1.390
     559   -5.504   -0.112
     560   -4.310   -0.285
     561   -3.138   -2.144
     562   -3.933   -2.481
     563   -1.546   -4.491
     564   -4.208   -4.030
     565   -3.793   -3.821
     566   -2.044   -2.789
     567   -2.159   -2.667
     568   -4.266   -4.646
     569   -1.693   -2.068
     570   -1.659   -0.402
     571   -0.961   -1.314
     572   -1.062   -1.960
     573   -0.439   -2.884
     574   -1.220   -1.480
     575   -2.297   -3.038
     576   -4.429   -2.363
     577   -3.923   -4.270
     578   -4.403   -4.675
     579   -1.851   -2.147
     580   -2.088   -0.609
     581   -0.297   -2.676
     582   -2.676   -4.141
     583   -2.938   -5.128
     584   -3.119   -2.751
     585   -2.660   -3.613
     586   -2.685    0.351
     587   -4.948   -1.634
     588   -6.141   -0.803
     589   -5.628    1.945
     590   -3.459    1.032
     591   -2.995   -0.577
     592   -3.645    0.747
     593   -2.937    0.503
     594   -4.044    0.257
     595   -6.332   -0.135
     596   -4.807   -0.065
     597   -4.875   -0.022
     598   -3.189    2.214
     599   -4.938    0.534
     600   -3.705    0.502
     601   -1.635   -1.864
     602   -1.755   -1.681
     603   -2.265   -0.500
     604   -2.071   -1.419
     605   -0.171   -0.730
     606    0.106   -0.594
     607   -1.910   -0.439
     608   -2.080   -2.019
     609   -2.190   -3.416
     610   -4.744   -2.455
     611   -3.389   -2.130
     612   -4.218    0.289
     613   -3.180   -0.765
     614   -4.720   -1.357
     615   -3.553   -1.829
     616   -3.337   -2.397
     617   -3.154   -3.091
     618   -2.230   -2.875
     619   -3.290   -3.138
     620   -0.584   -3.693
     621    0.889   -3.114
     622   -0.242   -2.674
     623    0.718   -0.944
     624   -0.169   -1.480
     625   -1.140   -1.651
     626   -1.070   -1.722
     627   -2.053   -0.364
     628   -1.188   -0.742
     629   -1.930   -0.069
     630   -0.926   -2.380
     631   -0.782   -2.750
     632   -1.153   -2.741
     633    0.314   -2.275
     634   -0.098   -3.168
     635   -0.159   -0.965
     636   -0.369   -0.733
     637   -0.423    0.421
     638    0.373   -1.642
     639   -3.300   -0.410
     640   -2.448   -0.082
     641   -0.383   -1.112
     642   -1.653   -0.581
     643   -5.144   -0.051
     644   -3.423   -1.045
     645   -2.459   -2.936
     646   -2.880   -2.210
     647   -2.007   -1.381
