#Frame      Mode1    Mode2
     972   -6.670   -7.043
     973   -8.493   -3.492
     974   -7.885   -6.538
     975   -6.112   -4.976
     976   -5.018   -4.245
     977   -5.413   -3.809
     978   -4.953   -1.944
     979   -3.645   -2.016
     980   -4.232   -2.225
     981   -6.153   -2.234
     982   -7.644   -1.313
     983   -6.383   -0.852
     984   -8.004   -1.528
     985   -9.096   -1.633
     986   -5.758   -1.076
     987   -6.991   -0.961
     988   -7.336    1.187
     989   -6.291   -0.393
     990   -6.125    0.924
     991   -5.842    0.156
     992   -5.504    0.681
     993   -7.629    1.065
     994   -7.634    1.069
     995   -6.026    1.323
     996   -5.342   -0.984
     997   -5.480   -2.577
     998   -4.952   -1.745
     999   -3.823   -0.071
    1000   -3.690   -0.004
    1001   -4.469    2.169
    1002   -5.806    2.017
    1003   -6.523   -0.141
    1004   -6.978    3.521
    1005   -4.229    2.761
    1006   -4.034    2.929
    1007   -5.107    4.011
    1008   -5.675    3.823
    1009   -7.571    2.321
    1010   -4.317    2.624
    1011   -3.898    1.325
    1012   -5.064    0.985
    1013   -4.236    2.039
    1014   -2.626    1.867
    1015   -2.654    1.624
    1016   -3.089    1.156
    1017   -2.831    2.958
    1018   -1.197    3.782
    1019   -2.031    3.309
    1020   -2.728    0.451
    1021   -3.300   -0.466
    1022   -3.362   -2.609
    1023   -2.878    0.552
    1024   -3.547    1.233
    1025   -2.455    2.590
    1026   -3.640    0.580
    1027   -2.657    0.012
    1028   -3.982    1.000
    1029   -3.835    2.210
    1030   -4.489    1.695
    1031   -4.557    3.120
    1032   -2.093    3.226
    1033   -3.672    0.779
    1034   -5.690    0.812
    1035   -3.835   -1.414
    1036   -3.696   -2.310
    1037   -4.134   -1.581
    1038   -3.216   -3.006
    1039   -6.097   -1.532
    1040   -4.487   -3.049
    1041   -2.980   -3.309
    1042   -4.156   -1.733
    1043   -2.561   -2.354
    1044   -3.059    0.838
    1045   -2.382    1.246
    1046   -3.435    0.997
    1047   -4.422    4.999
    1048   -3.998    3.957
    1049   -3.864    2.633
    1050   -5.162    3.415
    1051   -1.812    1.363
    1052   -5.368   -0.846
    1053   -4.275   -0.568
    1054   -4.670   -3.729
    1055   -4.065   -2.842
    1056   -4.027   -3.928
    1057   -4.393   -3.378
    1058   -3.697   -1.223
    1059   -5.988   -1.652
    1060   -6.696   -1.349
    1061   -6.540    0.647
    1062   -6.997   -0.497
    1063   -5.511    0.381
    1064   -6.601   -0.326
    1065   -6.765   -0.735
    1066   -6.022    1.557
    1067   -3.043    4.072
    1068   -4.353    4.767
    1069   -3.287    3.822
    1070   -1.452    1.598
    1071   -0.392    0.386
    1072   -1.270   -0.266
    1073   -1.892    0.232
    1074   -2.666   -0.608
    1075   -3.691   -0.482
    1076   -1.754   -3.321
    1077   -1.098   -2.234
    1078   -2.286   -2.638
    1079   -4.448    0.098
    1080   -3.186    0.053
    1081   -1.844    1.643
    1082   -0.674    3.196
    1083   -3.072    0.054
    1084   -2.858   -1.750
    1085   -4.720    1.071
    1086   -3.122    1.409
    1087   -3.682    0.933
    1088   -5.351    2.491
    1089   -4.818    0.596
    1090   -5.447    2.291
    1091   -6.891    1.649
    1092   -5.438    1.694
    1093   -6.505    1.507
    1094   -4.186    1.413
    1095   -3.770    0.439
    1096   -4.234    1.677
    1097   -3.299    1.768
    1098   -4.955    2.962
    1099   -3.476    1.489
    1100   -2.463    1.389
    1101   -0.866    0.939
    1102   -2.440    3.088
    1103   -3.675    3.790
    1104   -1.807    2.843
    1105   -1.036    0.317
    1106   -0.680    0.394
